latitude,longitude
40.83121,-73.850876
40.815525,-73.85779
40.82843,-73.88105
40.737553,-73.85089
40.753563,-73.870705
40.75363,-73.88597
40.655422,-73.84189
40.626568,-73.970924
40.83265,-73.86366
40.840385,-73.8286
40.838127,-73.91931
40.694588,-73.82591
40.684258,-73.84604
40.77882,-73.953995
40.617805,-74.07439
40.608364,-74.038666
40.617233,-73.99955
40.853233,-73.89175
40.856796,-73.841675
40.765224,-73.9317
40.79395,-73.97417
40.802345,-73.96812
40.666744,-73.91292
40.72592,-73.8191
40.62958,-73.886665
40.668663,-73.962006
40.72192,-73.99004
40.74575,-73.71438
40.66454,-73.82276
40.73572,-73.93677
40.846542,-73.88561
40.759926,-73.99898
40.637455,-73.92886
40.75927,-73.980896
40.67666,-73.74207
40.774357,-73.912865
40.639366,-73.9113
40.67974,-73.87839
40.758972,-73.91901
40.65753,-73.89797
40.798256,-73.82744
40.578712,-73.94086
40.74045,-73.844376
40.62334,-73.95595
40.876995,-73.88184
40.68811,-73.819336
40.74544,-73.9754
40.668648,-73.92835
40.707306,-73.75122
40.74877,-73.757614
40.709198,-73.991776
40.692886,-73.832184
40.64632,-73.92981
40.75829,-73.83431
40.716877,-73.92121
40.75794,-73.969215
40.667076,-73.78266
40.762287,-73.972374
40.77949,-73.985886
40.669544,-73.917145
40.625973,-73.97624
40.763947,-73.9741
40.65694,-73.90405
40.838108,-73.914246
40.79272,-73.9771
40.686077,-74.00038
40.735844,-74.00597
40.70953,-74.00842
40.68316,-73.93809
40.801125,-73.92988
40.600513,-74.07671
40.630524,-74.036446
40.788475,-73.96702
40.684204,-73.96806
40.826874,-73.90539
40.700024,-73.8994
40.689728,-73.99017
40.65461,-73.922
40.637215,-73.93274
40.8224,-73.86715
40.88548,-73.90904
40.668423,-73.93115
40.63721,-74.12689
40.72519,-74.00141
40.80897,-73.94833
40.759365,-73.713234
40.77077,-73.91727
40.726185,-73.98943
40.646255,-73.93081
40.69613,-73.987114
40.67054,-73.820885
40.687126,-73.993614
40.61042,-73.98212
40.611298,-74.17637
40.843544,-73.88976
40.635185,-73.92862
40.676632,-73.95944
40.72587,-73.76129
40.82463,-73.85566
40.708763,-73.998116
40.704582,-73.780716
40.58904,-73.96427
40.71976,-73.94476
40.647068,-73.993935
40.744545,-73.8678
40.74456,-73.93076
40.687557,-73.93896
40.81144,-73.95211
40.75826,-73.76829
40.71493,-73.79316
40.78905,-73.97031
40.83942,-73.872925
40.602295,-73.752174
40.71583,-73.81375
40.669403,-73.94221
40.83558,-73.886665
40.743534,-73.95072
40.797867,-73.96758
40.82304,-73.88193
40.679317,-73.825516
40.814297,-73.95308
40.862755,-73.901085
40.816494,-73.85061
40.81043,-73.93057
40.68857,-73.8757
