hour,day_of_week,contributing_factor,total_pedestrian_injuries
16,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,24
20,2,Backing Unsafely,24
14,6,Traffic Control Disregarded,24
13,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,24
13,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,24
22,7,Backing Unsafely,24
21,3,Backing Unsafely,24
12,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,24
20,4,View Obstructed/Limited,24
14,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,24
15,2,Passenger Distraction,24
21,6,Backing Unsafely,23
1,4,Failure to Yield Right-of-Way,23
7,4,Backing Unsafely,23
8,7,Backing Unsafely,23
19,6,View Obstructed/Limited,23
15,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,23
8,2,View Obstructed/Limited,23
6,1,Failure to Yield Right-of-Way,23
10,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,23
17,6,Passenger Distraction,23
17,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,23
16,3,View Obstructed/Limited,23
4,2,Driver Inattention/Distraction,23
16,6,Unsafe Speed,23
12,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,23
4,5,Failure to Yield Right-of-Way,23
2,4,Driver Inattention/Distraction,23
7,1,Failure to Yield Right-of-Way,23
17,5,Traffic Control Disregarded,22
13,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,22
7,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,22
1,3,Failure to Yield Right-of-Way,22
8,3,View Obstructed/Limited,22
16,3,Passenger Distraction,22
19,6,Traffic Control Disregarded,22
15,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,22
19,3,Unsafe Speed,22
20,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,22
18,5,Traffic Control Disregarded,22
21,2,Backing Unsafely,22
22,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,22
4,4,Driver Inattention/Distraction,22
21,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,22
8,4,View Obstructed/Limited,22
20,3,Backing Unsafely,22
16,6,Driver Inexperience,21
5,1,Failure to Yield Right-of-Way,21
11,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,21
19,5,Unsafe Speed,21
18,7,Unsafe Speed,21
16,5,View Obstructed/Limited,21
9,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,21
17,6,Traffic Control Disregarded,21
11,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,21
11,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,21
20,3,View Obstructed/Limited,21
5,7,Failure to Yield Right-of-Way,21
0,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,21
17,7,Passenger Distraction,21
